id,task,score,diagnosis
1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,34.62,"Force=793.9N, Dist>0.2m, Slow/Back"
3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,36.19,"Force=148.5N, Dist>0.2m, Slow/Back"
4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,35.7,"Force=191.7N, Dist>0.2m, Slow/Back"
5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,33.87,"Force=211.0N, Dist>0.2m, Slow/Back"
6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,40.59,"Force=312.6N, Dist>0.2m"
7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,24.78,"Force=116.6N, Dist>0.2m, Slow/Back"
8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,31.11,"Force=499.4N, Dist>0.2m, Slow/Back"
10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,47.3,"Force=42.7N, Dist>0.2m"
11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,22.69,"Force=165.9N, Dist>0.2m, Slow/Back"
12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,59.4,Dist>0.2m
14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,49.89,"Force=49.6N, Dist>0.2m"
15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,43.55,"Dist>0.2m, Slow/Back"
16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,50.29,"Force=60.7N, Dist>0.2m"
17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,38.83,"Dist>0.2m, Slow/Back"
19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,56.76,"Force=115.2N, Dist>0.2m"
21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,28.1,"Force=287.8N, Dist>0.2m, Slow/Back"
22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,54.13,Force=194.1N
23,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,25.67,"Force=690.7N, Dist>0.2m, Slow/Back"
24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,58.49,"Force=198.0N, Dist>0.2m"
25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,56.12,"Force=100.1N, Dist>0.2m"
26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,38.89,"Force=203.1N, Dist>0.2m"
27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,44.11,"Force=89.6N, Dist>0.2m"
30,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,58.33,Force=146.5N
31,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,57.52,"Force=48.4N, Dist>0.2m"
32,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,23.94,"Force=69.7N, Dist>0.2m, Slow/Back"
33,KITCHEN_SCENE6_close_the_microwave,32.9,"Force=143.7N, Dist>0.2m, Slow/Back"
34,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,27.8,"Force=90.9N, Dist>0.2m, Slow/Back"
35,KITCHEN_SCENE7_open_the_microwave,28.41,"Force=344.0N, Dist>0.2m, Slow/Back"
36,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,44.09,Force=43.2N
39,KITCHEN_SCENE8_turn_off_the_stove,56.27,Force=171.2N
40,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,25.21,"Force=154.9N, Dist>0.2m, Slow/Back"
41,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,23.31,"Force=189.9N, Dist>0.2m, Slow/Back"
42,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,23.36,"Force=71.9N, Dist>0.2m, Slow/Back"
43,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,22.78,"Force=97.9N, Dist>0.2m, Slow/Back"
44,KITCHEN_SCENE9_turn_on_the_stove,59.26,Force=194.4N
45,KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it,35.02,"Force=127.4N, Dist>0.2m, Slow/Back"
46,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,58.67,Force=103.8N
47,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,53.4,Force=89.0N
50,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,24.09,"Force=145.9N, Dist>0.2m, Slow/Back"
51,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,28.5,"Force=41.7N, Dist>0.2m, Slow/Back"
54,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,58.47,Force=131.8N
56,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,56.84,Force=62.7N
59,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,57.41,Force=139.9N
62,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,24.89,"Force=108.3N, Dist>0.2m, Slow/Back"
66,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate,23.76,"Force=232.6N, Dist>0.2m, Slow/Back"
68,LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate,26.3,"Force=81.1N, Dist>0.2m, Slow/Back"
73,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,51.84,Force=129.7N
74,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,54.73,"Force=153.8N, Dist>0.2m"
75,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,57.08,"Force=109.1N, Dist>0.2m"
76,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy,45.01,"Force=48.9N, Dist>0.2m"
77,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,48.9,Force=160.3N
78,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,56.44,Force=283.2N
79,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,45.62,"Force=114.2N, Dist>0.2m"
80,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,44.29,"Force=265.3N, Dist>0.2m"
81,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,56.75,Force=87.7N
82,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,41.21,"Force=527.9N, Dist>0.2m"
83,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,49.51,"Force=105.1N, Dist>0.2m"
85,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy,37.39,"Force=154.5N, Dist>0.2m"
86,STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf,19.91,"Force=136.3N, Dist>0.2m, Slow/Back"
87,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,24.55,"Force=212.1N, Dist>0.2m, Slow/Back"
88,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf,18.19,"Force=170.0N, Dist>0.2m, Slow/Back"
89,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf,26.68,"Force=153.6N, Dist>0.2m, Slow/Back"
