id,status,task,target,base,note
0,✅ OK,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 43.2
1,✅ OK,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 39.38
2,✅ OK,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,akita_black_bowl_1_main,wooden_cabinet_1_main,Score Test: 64.69
3,✅ OK,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 38.28
4,✅ OK,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 38.44
5,✅ OK,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 52.9
6,✅ OK,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 81.24
7,✅ OK,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 85.72
8,✅ OK,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 77.0
9,✅ OK,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 63.91
10,✅ OK,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,wooden_cabinet_1_main,Score Test: 30.01
11,✅ OK,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 89.07
12,✅ OK,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 54.79
13,✅ OK,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 68.96
14,✅ OK,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 80.61
15,✅ OK,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,wooden_cabinet_1_main,Score Test: 87.93
16,✅ OK,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,akita_black_bowl_1_main,plate_1_main,Score Test: 90.52
17,✅ OK,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,akita_black_bowl_1_main,plate_1_main,Score Test: 90.49
18,✅ OK,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,chefmate_8_frypan_1_main,flat_stove_1_main,Score Test: 80.42
19,✅ OK,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,moka_pot_1_main,flat_stove_1_main,Score Test: 83.98
20,✅ OK,KITCHEN_SCENE3_turn_on_the_stove,flat_stove_1_main,flat_stove_1_main,Score Test: 43.13
21,✅ OK,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,flat_stove_1_main,flat_stove_1_main,Score Test: 75.63
22,✅ OK,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,white_cabinet_1_main,white_cabinet_1_main,Score Test: 47.52
23,✅ OK,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,white_cabinet_1_main,white_cabinet_1_main,Score Test: 31.92
24,✅ OK,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 62.43
25,✅ OK,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 88.06
26,✅ OK,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,wine_bottle_1_main,white_cabinet_1_main,Score Test: 62.58
27,✅ OK,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,wine_bottle_1_main,wine_rack_1_main,Score Test: 57.8
28,✅ OK,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,white_cabinet_1_main,white_cabinet_1_main,Score Test: 44.03
29,✅ OK,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 87.42
30,✅ OK,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 83.38
31,✅ OK,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 82.59
32,✅ OK,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,ketchup_1_main,white_cabinet_1_main,Score Test: 78.04
33,✅ OK,KITCHEN_SCENE6_close_the_microwave,microwave_1_main,microwave_1_main,Score Test: 42.63
34,✅ OK,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,white_yellow_mug_1_main,,Score Test: 67.43
35,✅ OK,KITCHEN_SCENE7_open_the_microwave,microwave_1_main,microwave_1_main,Score Test: 72.46
36,✅ OK,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,plate_1_main,plate_1_main,Score Test: 54.24
37,✅ OK,KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate,plate_1_main,plate_1_main,Score Test: 47.26
38,✅ OK,KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove,moka_pot_1_main,flat_stove_1_main,Score Test: 59.14
39,✅ OK,KITCHEN_SCENE8_turn_off_the_stove,flat_stove_1_main,flat_stove_1_main,Score Test: 65.8
40,✅ OK,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,chefmate_8_frypan_1_main,,Score Test: 75.75
41,✅ OK,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,chefmate_8_frypan_1_main,,Score Test: 29.77
42,✅ OK,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,chefmate_8_frypan_1_main,,Score Test: 68.69
43,❌ MAP,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,,,Target Not Found
44,✅ OK,KITCHEN_SCENE9_turn_on_the_stove,flat_stove_1_main,flat_stove_1_main,Score Test: 68.62
45,✅ OK,KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it,flat_stove_1_main,flat_stove_1_main,Score Test: 72.94
46,✅ OK,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,alphabet_soup_1_main,basket_1_main,Score Test: 74.6
47,✅ OK,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,cream_cheese_1_main,basket_1_main,Score Test: 54.19
48,✅ OK,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket,ketchup_1_main,basket_1_main,Score Test: 27.54
49,✅ OK,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket,tomato_sauce_1_main,basket_1_main,Score Test: 57.56
50,✅ OK,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,alphabet_soup_1_main,basket_1_main,Score Test: 76.4
51,✅ OK,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,butter_1_main,basket_1_main,Score Test: 56.44
52,✅ OK,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,milk_1_main,basket_1_main,Score Test: 47.2
53,✅ OK,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,orange_juice_1_main,basket_1_main,Score Test: 85.51
54,✅ OK,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,tomato_sauce_1_main,basket_1_main,Score Test: 31.33
55,✅ OK,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray,alphabet_soup_1_main,wooden_tray_1_main,Score Test: 47.19
56,✅ OK,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,butter_1_main,wooden_tray_1_main,Score Test: 48.68
57,✅ OK,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray,cream_cheese_1_main,wooden_tray_1_main,Score Test: 65.38
58,✅ OK,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,ketchup_1_main,wooden_tray_1_main,Score Test: 31.73
59,✅ OK,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,tomato_sauce_1_main,wooden_tray_1_main,Score Test: 43.32
60,✅ OK,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,akita_black_bowl_1_main,wooden_tray_1_main,Score Test: 75.37
61,✅ OK,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray,chocolate_pudding_1_main,wooden_tray_1_main,Score Test: 71.59
62,❌ MAP,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,,wooden_tray_1_main,Target Not Found
63,✅ OK,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray,akita_black_bowl_1_main,wooden_tray_1_main,Score Test: 75.64
64,✅ OK,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray,akita_black_bowl_1_main,wooden_tray_1_main,Score Test: 63.25
65,✅ OK,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_left_plate,red_coffee_mug_1_main,plate_1_main,Score Test: 29.14
66,✅ OK,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate,red_coffee_mug_1_main,plate_1_main,Score Test: 63.45
67,✅ OK,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate,porcelain_mug_1_main,plate_1_main,Score Test: 90.29
68,✅ OK,LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate,white_yellow_mug_1_main,plate_1_main,Score Test: 54.66
69,✅ OK,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate,chocolate_pudding_1_main,plate_1_main,Score Test: 70.48
70,✅ OK,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate,chocolate_pudding_1_main,plate_1_main,Score Test: 76.57
71,✅ OK,LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate,red_coffee_mug_1_main,plate_1_main,Score Test: 52.41
72,✅ OK,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate,porcelain_mug_1_main,plate_1_main,Score Test: 68.36
73,✅ OK,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 73.64
74,✅ OK,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 30.65
75,✅ OK,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 69.11
76,✅ OK,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy,white_yellow_mug_1_main,desk_caddy_1_main,Score Test: 70.65
77,✅ OK,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 69.03
78,✅ OK,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 72.68
79,✅ OK,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 70.39
80,✅ OK,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 66.66
81,✅ OK,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 75.43
82,✅ OK,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 66.48
83,✅ OK,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,black_book_1_main,desk_caddy_1_main,Score Test: 67.91
84,✅ OK,STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy,red_coffee_mug_1_main,desk_caddy_1_main,Score Test: 76.21
85,✅ OK,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy,porcelain_mug_1_main,desk_caddy_1_main,Score Test: 30.32
86,✅ OK,STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf,black_book_1_main,,Score Test: 86.09
87,✅ OK,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,black_book_1_main,,Score Test: 76.29
88,✅ OK,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf,black_book_1_main,,Score Test: 65.57
89,✅ OK,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf,black_book_1_main,,Score Test: 65.57
